witness,section,argument_n,text_expanded,text_normalized
wit_D54,sacro_concilio,1,primo apostoli illud in instituunt et celebravunt,primo apostoli illud in instituunt et celebravunt
wit_D54,sacro_concilio,2,Secundo quia per sacrorum concilium quattuor sancta ewangelia quibi utitur ecclesia sunt recepta et confirmata et multa alia ewangelia sunt abiecta ?? punctuation mark of some sort qui ergo reiciun Sacrum concilium reiciunt ewangelia,secundo quia per sacrorum concilium quattuor sancta ewangelia quibi utitur ecclesia sunt recepta et confirmata et multa alia ewangelia sunt abiecta punctuation mark of some sort qui ergo reiciun sacrum concilium reiciunt ewangelia
wit_D54,sacro_concilio,3,Tercio Sacrum con cilium solet terminare omnes causas et difficultates que in ecclesia dei surgunt et dampnare omnes hereses que surgunt in ecclesia dei,tercio sacrum con cilium solet terminare omnes causas et difficultates que in ecclesia dei surgunt et dampnare omnes hereses que surgunt in ecclesia dei
wit_D54,sacro_concilio,4,Quarto quia papa et Imperator confirmarunt concilium et confirmant confirmanda et revocant revocanda que facta sunt in concilio,quarto quia papa et imperator confirmarunt concilium et confirmant confirmanda et revocant revocanda que facta sunt in concilio
wit_D54,sacro_concilio,5,Quinto quia omnes Reges christianitatis et omnes principes christianitatis et omnes prelati ut scopi et Cardinales et primates obediunt concilio,quinto quia omnes reges christianitatis et omnes principes christianitatis et omnes prelati ut scopi et cardinales et primates obediunt concilio
wit_D54,sacro_concilio,6,Sexto quia nullus tam magnus est qui presumat contradicere illis que fiunt in concilio Ecclesie nisi solus papa et Imperator simul iuncti,sexto quia nullus tam magnus est qui presumat contradicere illis que fiunt in concilio ecclesie nisi solus papa et imperator simul iuncti
wit_4941,sacro_concilio,1,Primo quia Apostoli ide instituerunt et celebrarunt,primo quia apostoli ide instituerunt et celebrarunt
wit_4941,sacro_concilio,2,secundo quia per sacrum Concilium quator sancta Ewangelia quibus utitur ecclesia sunt recepta et confirmata et multa alia Ewangelia sunt abiecta Qui ergo reiciunt sacrum Concilium reiciunt ewangelia,secundo quia per sacrum concilium quator sancta ewangelia quibus utitur ecclesia sunt recepta et confirmata et multa alia ewangelia sunt abiecta qui ergo reiciunt sacrum concilium reiciunt ewangelia
wit_4941,sacro_concilio,3,Tercio sacrum Concilium solet terminare omnes causas et difficul tates que surgunt in ecclesia dei,tercio sacrum concilium solet terminare omnes causas et difficul tates que surgunt in ecclesia dei
wit_4941,sacro_concilio,4,Quarto quia papa et Imperator confirmaventur Concilium et confirmant confirmanda et revocant revocanda que facta sunt in Concilio,quarto quia papa et imperator confirmaventur concilium et confirmant confirmanda et revocant revocanda que facta sunt in concilio
wit_4941,sacro_concilio,5,Quinto quia omnes Reges christianitatis et omnes pricipes christianitatis et omnes prelati ut Episcopi et Cardinales et primates obe diunt Concilio quod nos obediamus,quinto quia omnes reges christianitatis et omnes pricipes christianitatis et omnes prelati ut episcopi et cardinales et primates obe diunt concilio quod nos obediamus
wit_4941,sacro_concilio,6,Sexto quia nullus est tam magnus qui presumat contradicere illis que fiunt in Consilio Ecclesie nisi solus papa et Im perator simul iuncti,sexto quia nullus est tam magnus qui presumat contradicere illis que fiunt in consilio ecclesie nisi solus papa et im perator simul iuncti
